tipo,id,titulo,descricao,thumbnails_png,canal,tags,idioma,duracao,definicao,visualizacoes,likes,comentarios,contentDetails.regionRestriction.blocked,dia,horario,link
youtube video,tnY7QupgezY,JOGO COMPLETO: MIRASSOL X SÃO PAULO | RODADA 2 | FASE DE GRUPOS | PAULISTÃO 2024,"É DIA DE PAULISTÃO NA CAZÉTV! Acompanhe o duelo entre MIRASSOL x SÃO PAULO válido pela 2ª rodada do Paulistão 2024, nesta Terça-Feira (23/01), aqui no YouTube!

#PaulistãoNaCazéTV",https://i.ytimg.com/vi/tnY7QupgezY/maxresdefault.jpg,CazéTV,"['Casimiro', 'Casimiro ao vivo', 'Futebol ao vivo', 'Futebol CazéTV', 'CazéTV', 'Cazé TV', 'Cazé ao vivo', 'CazéTV ao vivo', 'casetv', 'paulistão hoje', 'jogo paulistão', 'onde assistir paulistão', 'assistir paulistão', 'assistir paulistão ao vivo', 'campeonato paulista ao vivo', 'SÃO PAULO ao vivo', 'MIRASSOL x SÃO PAULO', 'SÃO PAULO x MIRASSOL', 'assistir SÃO PAULO', 'assistir MIRASSOL x SÃO PAULO', 'assistir SÃO PAULO ao vivo', 'onde assistir SÃO PAULO', 'jogo SÃO PAULO ao vivo', 'sao paulo paulistao', 'sao paulo mirassol']",pt-BR,426.92,hd,6375353,177018,9,,2024-01-24,04:46:05,www.youtube.com/watch?v=tnY7QupgezY
youtube video,JleoAppaxi0,IU 'Love wins all' MV,"IU Pre-Release Single 'Love wins all'
➫ 2024.01.24 6PM (KST)

#아이유 #IU #Love_wins_all


[IU Official SNS]

YouTube ▶ https://www.youtube.com/@dlwlrma
Instagram ▶ https://www.instagram.com/dlwlrma/
X ▶https://twitter.com/_IUofficial
Tiktok ▶ https://www.tiktok.com/@_iuofficial
Fancafe ▶ https://cafe.daum.net/IU",https://i.ytimg.com/vi/JleoAppaxi0/maxresdefault.jpg,이지금 [IU Official],"['IU', '아이유', '이담', 'EDAM', '이지금', 'dlwlrma', '선공개', 'Pre-Release', 'Single', 'Love wins all', '러브윈스올', 'MV', '뮤직비디오', 'Music video', 'BTS', '뷔', 'bts v', '아이유 뷔', 'IU V', '엄태화', '엄태화 감독']",ko,5.38,hd,14883569,2471210,149302,,2024-01-23,15:00:15,www.youtube.com/watch?v=JleoAppaxi0
youtube video,0N0q5R8Qk4o,BOLÍVIA 0 X 1 BRASIL | MELHORES MOMENTOS | PRÉ-OLÍMPICO SUL-AMERICANO MASCULINO 2024 | sportv,"O Brasil não jogou bem, mas venceu na estreia pelo Torneio Pré-Olímpico: 1 a 0 sobre a Bolívia, no estádio Brigido Iriarte, em Caracas, na Venezuela. O atacante Endrick fez o gol da vitória aos quatro minutos do primeiro tempo. O técnico da seleção boliviana, o brasileiro Antônio Carlos Zago, foi expulso aos 41 minutos do segundo tempo. Além disso, a equipe dele ficou com um jogador a menos nos minutos finais, após a lesão de Daniel Ribera.

https://ge.globo.com/olimpiadas/futebol/pre-olimpico/jogo/23-01-2024/bolivia-brasil.ghtml

#Brasil #Bolívia #futebol 
______________________________________
✅ INSCREVA-SE NO CANAL GE:  https://cutt.ly/xfHlwBk

👍 Curtiu o vídeo? Deixe seu like e dê seu pitaco 😎⚽ 

🌟 Playlists pra você maratonar 🌟 

► Bola Quadrada:  https://cutt.ly/IfHk7ra 
► BMFC: https://cutt.ly/gfHk5bH
►Humor no GE: https://cutt.ly/HfHk6SY
►Jogos Históricos: https://cutt.ly/BkxoZJX
► Listas e TOPs: https://cutt.ly/hkxo51U
► Originais GE: https://cutt.ly/vkxpunL
► Melhores Momentos do Brasileirão:  https://cutt.ly/NfHk9TS
► Melhores Copa do Brasil: https://cutt.ly/LfHk3Di
► Gols Série B: https://cutt.ly/LfHk84c

✅ Inscreva-se, também, no canal do CARTOLA FC e fique por dentro das melhores dicas do maior fantasy game do Brasil - https://cutt.ly/ffV1Xri
______________________________________  

No canal ge você encontra os melhores conteúdos do FUTEBOL BRASILEIRO! 🤙😎",https://i.ytimg.com/vi/0N0q5R8Qk4o/maxresdefault.jpg,ge,"['Bolívia', 'Brasil', 'brasil x bolívia', 'brasil x bolivia', 'bolívia x brasil', 'bolivia x brasil', 'brasil ao vivo', 'jogo do brasil', 'seleção brasileira', 'selecao brasileira', 'seleção brasileira ao vivo', 'selecao brasileira ao vivo', 'brasil x bolívia melhores momentos', 'brasil x bolívia com imagens', 'seleção brasileira com imagens', 'neymar', 'diniz', 'fernando diniz', 'estreia fernando diniz', 'eliminatórias', 'eliminatorias', 'estreia diniz', 'argentina', 'colombia', 'equador', 'melhores momentos', 'mm', 'brasil', 'rodrigo', 'endrik']",,3.47,hd,317403,6952,419,,2024-01-23,22:05:28,www.youtube.com/watch?v=0N0q5R8Qk4o
youtube video,5llvd1Uu-iU,Avatar: O Último Mestre do Ar | Trailer oficial | Netflix,"DOMINE SEU ELEMENTO

A série live-action ""Avatar: O Último Mestre do Ar"" estreia em 22 de fevereiro, só na Netflix.

Assista na Netflix: https://www.netflix.com/title/80237845

Inscreva-se: https://bit.ly/31ynwtw

Sobre a Netflix:
A Netflix é um dos principais serviços de entretenimento do mundo. São mais de 247 milhões de assinaturas pagas em mais de 190 países com acesso a séries, filmes e jogos de diversos gêneros e idiomas. Assinantes podem assistir, pausar e voltar a assistir a um título quantas vezes quiserem em qualquer lugar e alterar o plano a qualquer momento.

Avatar: O Último Mestre do Ar | Trailer oficial | Netflix
https://www.youtube.com/@NetflixBrasil",https://i.ytimg.com/vi/5llvd1Uu-iU/maxresdefault.jpg,Netflix Brasil,"['Aang', 'Arden Cho', 'Avatar: O Último Mestre do Ar', 'Azula', 'Dallas Liu', 'Daniel Dae Kim', 'Elizabeth Yu', 'Gordon Cormier', 'Ian Ousley', 'Katara', 'Kiawentiio Tarbell', 'Netflix', 'Ozai', 'Paul Sun-hyung Lee', 'Sokka', 'Tio Iroh', 'Zuko']",en-US,2.48,hd,453576,40705,3026,,2024-01-23,15:58:11,www.youtube.com/watch?v=5llvd1Uu-iU
youtube video,Ic16GBAIscY,TESTANDO A BOLA QUE BRILHA  NO ESCURO! 😱⚽️ *um vídeo de led *,"SE INSCREVA NO CANAL E DEIXA O LIKE PRA NÓIS!

#Reversão #Cocielo #Futebol",https://i.ytimg.com/vi/Ic16GBAIscY/maxresdefault.jpg,Reversão,"['cocielo', 'vlog', 'challenge', 'soccer', 'games', 'CanalCanalha', 'Reversão', 'futebol', 'reversão cocielo', 'futebol cocielo', 'Travessão', 'victor sarro', 'sarro', 'led', 'bola com led', 'video led', 'futebol led', 'jogo com led']",pt-BR,8.45,hd,302596,44077,353,,2024-01-23,21:00:13,www.youtube.com/watch?v=Ic16GBAIscY
youtube video,2wVmLnEyBu4,Pedro Henrique | Os Melhores Covers [Coletânea Vol. 9],"Gospel Covers Coletâneas apresenta uma sequência de lindas canções interpretadas por Pedro Henrique através de versões covers.
------------------------------------------------------------
🎙️ SIGA PEDRO HENRIQUE NAS REDES SOCIAIS
📍 https://pedrohenrique.lnk.to/Facebook
📍 https://pedrohenrique.lnk.to/Instagram
------------------------------------------------------------
🎶 ESCUTE ESSA SEQUÊNCIA DE COVERS
[00:00:00]  - 1 A Tua Palavra [Larissa Pires] 
[00:05:18]  - 2  A Vida Chegou [Valesca Mayssa] 
[00:10:36]  - 3  Deus Dos Bastidores [Stella Laura] 
[00:15:57]  - 4  Eis-me Aqui [Valesca Mayssa] 
[00:21:45]  - 5  Foi a Mão De Deus [Sued Silva] 
[00:27:38]  - 6  O Processo [Suellen Brum] 
[00:32:25]  - 7  Por Causa Dele [Kellen Byanca] 
[00:38:04]  - 8  Se Eu Pudesse [Misaias Oliveira] 
[00:42:51]  - 9  Vai Ser Tão Lindo [Misaias Oliveira] 
[00:47:22]  - 10 Você Não Vai Parar [Nathália Braga] 


#GospelCoverColetâneas #AsMelhores #PedroHenrique",https://i.ytimg.com/vi/2wVmLnEyBu4/maxresdefault.jpg,Gospel Covers Coletâneas,"['Gospel Covers Coletâneas', 'Gospel Covers', 'Gospel Coletâneas', 'Gospel']",,52.3,hd,19629,589,21,,2024-01-23,23:00:11,www.youtube.com/watch?v=2wVmLnEyBu4
youtube video,7EdRiSdsK8s,CONFERINDO TUDO DA NOVA ATUALIZAÇÃO DO FREE FIRE!! QUAIS AS NOVIDADES QUE CHEGARAM??,"Chegou a nova atualização de janeiro 2024 do free fire com skin evolutiva, habilidades, emotes, fim da sônia, nerf na trogon, novas skins, novo mapa e evento do carnacaos!!

Smile One: https://bit.ly/3FBzwP8

----------------------------------------------------------------------------------------------------------------------------
📩Contato profissional:
diego.nunes.lino@gmail.com
----------------------------------------------------------------------------------------------------------------------------
Instagram: @veni.ff

Fala galera aqui é o Veni, você encontra novidades todos os dias do free fire battlegrounds, novos eventos, atualizações e mais❤

Ignore⬇
freefire,freefireBrasil,freefireVN,battlegrounds,vazamentos,jogando com inscritos, atualização, ranked, novo mapa,freefire ao vivo,novo personagem, carreguei o squad na mochila, diamantes, diamantes de graça, como ganhar diamantes, 1000 diamantes, fullcash, lança granadas, arma nova, SPOILER, novo carro, nova personagem, NOVO personagem, anoitecer, chat para equipe, código,dunk master, paraquedas, matei um squad com 1 tiro, tudo da nova atualização, melhor jogador do mundo, melhor jogador de free fire, jogando só de panela, como subir de level e rank rápido, bug da invisibilidade, bug free fire, melhor bug free fire, melhor evento do free fire, melhor código de itens, evento de itens raros, jogando de pistola, melhor jogador de free fire,M60, como jogar de sniper, como ser o melhor sniper, kar098, awm, como jogar bem com arma de ar, melhor atualização, nova atualização, novo sistema de guildas,fortnite, personagem masculino, novo relógio, nova interface, Gameplay novo personagem, bug do piloto, bug do tatu, videos mais engraçados do free fire, hacker ou habilidade, saiu a arma famas,skate, gameplay caroline,pacote dunk master,skull rider,corrida mortal zombie,zombie,high chief,bazuka,doce fantasma, espírito rosa,season 6,desordem 8 - bits,locura gamer,P90,smg,diwali,ticket sala personalizada,arma royale,emoji,teenage dream,moonwall,blade master,pink paradise,red jazz,Personagem antonio,pacote Anjo e demonio,granada de fumaça,cla de sangue,PSG 1,caixa ceu rosa,iceage,eradogelo,dead of winter,season 7,summoner zumbie samurai,Speed royale,moto relâmpago,angel and devil, colônia Manly,perfume de uma mulher,carro esportivo,mina terrestre,cogumelo lvl 4,sport car,landmine,steampunk,season 8,winterlands,mgl-140,general estelar,hack, pacote descolado,moco,AN94,nuclear,season 9,gatinho,cat,carnaval,carnaval free fire, dragão imperador,luck Royale, camisa gola alta preta de volta, Hayato,cubo de graça,código do cubo,Pacote rainha,coelho quadrado, tubarão bebê,mochila phyton, modo confronto,nova incubadora, incubadora unicórnio raivoso,passe de elite jaguar, bandido diamante royale,novo ouro Royale,novo arma Royale,trailer do passe do jaguar,plataforma de lançamento,evento dia do trabalho,novas área, temporada 16 ranqueada,juizo final, pré venda do passe,trailer do passe,passe de julho,season 14,modo redenção,token máscara de açougueiro,token esqueleto louco,nova atualização,novo evento de verão,ouro royale,season 16 passe de elite,passe do deserto,passe de agosto,arma Royale,passe de novembro, passe de graça, evento de halloween, passe hockei, novo evento,season 18,loja misteriosa 6.0, cowboy da morte, calça angelical, incubadora de novembro,world series,alok, personagem alok, supermercado 7.0, dino azul, diamante royale mundial,passe de dezembro,Season 19,modo ranqueado no contra squad, cs, atualização de natal,evento de natal, pistola de gelo,mapa kalahari, personagem angela, personagem alvaro, pet robô, passe de dezembro de graça, lâmina fatal modo pve, metralhadora de bola de neve - tema de natal, camisas da temporada 14 da ranqueada, passe de janeiro dos ninjas, nova incubadora de dezembro, nova roupa do token rank, passe de fevereiro, atualização ob20, carnificina de carnaval, evento de natal, nova Barba do papai noel, loja misteriosa 9.0, novo ouro royale, novo diamante, mapa de neve, rank sem perca de pontos, pré venda, mapa kalahari, calça Angelical,trap/rap,season 21, passe de julho, incubadora mp40, passe do apocalipse, incubadora quadra de ases, Ragnarok, evento do Ragnarok, loja misteriosa 8.0, arma thompson, dirigível, caixa camuflada, passe de junho, spine, incubadora de maio, evento punk, jazz moderno, servidor avançado free fire, novo servidor avançado free fire, tudo sobre o servidor avançado free fire

#freefire #veniff",https://i.ytimg.com/vi/7EdRiSdsK8s/maxresdefault.jpg,Veni FF,"['free fire', 'CONFERINDO TUDO DA NOVA ATUALIZAÇÃO DO FREE FIRE!! QUAIS AS NOVIDADES QUE CHEGARAM?', 'novo evento free fire', 'bandeirão 2.0', 'veni', 'mods', 'veni mods', 'atualização 24 de janeiro', 'nova atualização do free fire', 'novidades ff', 'ff', 'evento carnacaos ff', 'evento de carnaval', 'atualização de 2024 free fire']",pt-BR,20.85,hd,39208,2204,232,,2024-01-24,07:39:47,www.youtube.com/watch?v=7EdRiSdsK8s
youtube video,IPruIGPMISY,ENCONTREI 36 ANOMALIAS NESSE JOGO,"Você se encontra preso em um sonho. Se você capturar anomalias no sonho com uma câmera, poderá escapar. 🌵 Deixa o like e se inscreva no canal!

🎮 FALSE DREAM
#TexHS #FalseDream

💜 Julia Minegirl - https://youtube.com/juliaminegirl
💛 Cris Minegirl - https://youtube.com/crisminegirl",https://i.ytimg.com/vi/IPruIGPMISY/maxresdefault.jpg,Tex HS,"['Tex', 'Tex HS', 'Canal Tex', 'Jogo', 'Game', 'Gameplay', 'False Dream']",pt,34.37,hd,529600,11595,1196,,2024-01-23,13:00:28,www.youtube.com/watch?v=IPruIGPMISY
youtube video,SlOSPzmKllk,FIM DA NOVELA | FLA DEFINE SITUAÇÕES NA EUROPA | 225 MILHÕES NOS COFRES DO FLAMENGO E+,"JORNAL VVP AO VIVO AS 11H00: https://www.youtube.com/@LiveMengoTV

❤🖤 PIX PARA GRUPO DE MEMBROS DO WHATSAPP: 31986138778

Coluna Jornal O DIA: https://odia.ig.com.br/esporte/fabricio-lopes/

PIX: 31986138778

Se inscrevam nos Canais da Flamília VVP 👇🧡🖤
https://youtube.com/flanacaovvp
https://youtube.com/resenharubronegra
https://youtube.com/@canaisvvp

🚨🚨 CLIQUE AQUI 👉 https://bit.ly/3APGsXM

Encontrem tudo sobre o Flamengo aqui no nosso canal! Com 2 vídeos todos os dias: as 11h e as 21h, levamos até você, tudo sobre o Mais Querido do Brasil e do Mundo! 

Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UCTZkblFI5oLu1mNQgxCzP_g/join

Whatsapp: (31) 98613-8778
👍 Fanpage: https://www.facebook.com/Flanacaovvp
📷 Instagram: https://www.instagram.com/Flanacaovvp
🐤 Twitter: https://twitter.co-m/Flanacaovvp

#Flamengo #flamengoaovivo #NotíciasdoFlamengo

































































































flamengo,
gols do flamengo,
flamengo hoje,
nicolas de la cruz,
de la cruz,
wendel,
zenit,
river plate,
gonzalo montiel,
montiel,
de la cruz,
noticias do flamengo,
flamengo x velez,
flamengo ao vivo,
onde assistir flamengo,
aonde assistir flamengo,
onde vai passar o jogo do flamengo hoje,
onde vai passar o jogo do flamengo,
pedro,
final,
fla,
bora bil,
ai pedro,
futebol,
react,
mauro,
jogos do flamengo,
flamengo na libertadores,
entrevista,
flamengo na final,
vampeta,
vidal,
mengo,
gols,
jogo do flamengo,
marinho,
final libertadores,
flamengo libertadores,
mengão,
gols flamengo,
varela,
melhores momentos flamengo,
nação,
flamengo melhores momentos,
nação,
flamengo na final da libertadores,
jogo aberto ao vivo,
gabigol,
copa do brasil,
mengão na final,
flamengo x athletico-pr,
mengão na final,
flamengo copa do brasil,
gol do flamengo,
vitória do flamengo,
denilson flamengo,
michael flamengo,
final da libertadores,
libertadores flamengo,
gol do flamengo hoje,
felipão,
gols do flamengo hoje,",https://i.ytimg.com/vi/SlOSPzmKllk/maxresdefault.jpg,Resenha Rubro-Negra,"['Flamengo', 'Flamengo ao vivo', 'Notícias do flamengo', 'noticias do flamengo', 'flamengo notícias', 'flamengo agora', 'flamengo hoje', 'flamengo noticias', 'notícias do flamengo agora', 'últimas notícias do flamengo', 'fla nação vvp', 'fabricio lopes', 'flanacaovvp', 'Vasco x Flamengo', 'de lá Cruz', 'Nicolas de lá Cruz', 'Allan', 'River Plate', 'Atlético MG', 'reforços', 'Marcos Braz', 'Fla', 'MENGO', 'Mengão', 'libertadores', 'Palmeiras', 'Botafogo', 'Fluminense', 'copa do Brasil', 'marcos braz', 'nicolas de la cruz', 'de la cruz', 'river plate']",zxx,16.4,hd,42541,8728,387,,2024-01-24,10:00:07,www.youtube.com/watch?v=SlOSPzmKllk
youtube video,o5JLvzNTtRg,TESTAMOS UM JOGO DIVERTIDO NO ROBLOX!,"💛 No vídeo de hoje, eu e o @TexHS fomos em um parque testar diversas experiências divertidas e engraçadas.

💛 Sejam bem-vindos ao meu canal, e espero que gostem do vídeo. Se você gostar deixa um like para eu saber!

 ♫ Música: biblioteca de áudio do YouTube",https://i.ytimg.com/vi/o5JLvzNTtRg/maxresdefault.jpg,Cris Minegirl,"['roblox', 'Roblox', 'divertido', 'engraçado', 'crisminegirl', 'cris minegirl', 'tex hs']",pt-BR,12.53,hd,191753,7427,556,,2024-01-23,15:00:44,www.youtube.com/watch?v=o5JLvzNTtRg
